tag,encoder,layers,auc,aupr,acc,f1,mcc,loss,thr,epoch,elapsed_s
gatv2_L4,gatv2,4,0.6188721924318632,0.5754818436310833,0.622334455667789,0.704305799648506,0.2939925691787078,0.6901498436927795,0.4738653898239136,30,185
gatv2_L5,gatv2,5,0.5526199770494571,0.5358345219472663,0.5016835016835017,0.6632536973833902,0.0119659693102956,0.6924595236778259,0.4750392436981201,11,124
gatv2_L6,gatv2,6,0.4960609650564757,0.4979308195578943,0.4971941638608305,0.2070796460176991,-0.0082335682691138,0.6934176683425903,0.5173312425613403,7,106
