source,target,raw_threshold,raw_test_auc,raw_test_ap,raw_test_f1,raw_test_precision,raw_test_recall,raw_test_brier,raw_test_ece,platt_temperature,platt_bias,platt_test_f1,platt_test_brier,platt_test_ece,hist_test_f1,hist_test_brier,hist_test_ece
human,human,2.7029051739846377e-12,0.6707160896809702,0.6323060356864161,0.7399541952946076,0.5889956910838582,0.9949608062709966,0.45943254232406616,0.4640916646035828,19.952623149688787,0.7000000000000011,0.7399541952946076,0.20726223289966583,0.024205093098385103,0.7248062015503876,0.211362921661714,0.021086883403598152
human,cow,2.0924053387716413e-06,0.6642171809842528,0.600678824202588,0.7604231487243309,0.6134538152610441,1.0,0.4516829252243042,0.45261422633023224,9.261187281287938,0.9000000000000004,0.7604231487243309,0.19719576835632324,0.05169117083138925,0.7599502487562189,0.1946385228381949,0.026199431321409415
human,mouse,8.28169893773989e-11,0.6830345765418017,0.6321850935465447,0.7657362413832071,0.6226796544752803,0.994131455399061,0.4746594727039337,0.47834138504976625,27.12272579332027,0.7000000000000011,0.7657362413832071,0.19226500391960144,0.047786295154632584,0.7629241630608061,0.1901906416886099,0.01816419803182872
human,worm,0.030158182606101036,0.6914743547356125,0.6845725820764903,0.7227467811158799,0.5696887686062246,0.9882629107981221,0.28945252299308777,0.2629567962117983,1.9952623149688788,0.9000000000000004,0.7227467811158799,0.21411025524139404,0.04371440484944924,0.719929762949956,0.2142820874554036,0.041321539524629046
cow,human,0.00021137403382454067,0.692778942603226,0.6496153449049454,0.7250979583419263,0.5739471106758081,0.9843225083986562,0.40207773447036743,0.4068674219236162,4.6415888336127775,1.0,0.7250979583419263,0.2117769569158554,0.02551561804234873,0.7156276686592656,0.21639956148001732,0.0137674909337643
cow,cow,0.019475730136036873,0.6739972659811083,0.6095037443832727,0.7429735234215885,0.5927851803704908,0.9950900163666121,0.36021167039871216,0.35516155890986295,1.584893192461114,1.5,0.7429735234215885,0.21067428588867188,0.05070704953878127,0.7398963730569947,0.209968627204728,0.03464503429912153
cow,mouse,0.00013709058111999184,0.7135528165570103,0.6555281162559564,0.7540106951871658,0.6077586206896551,0.9929577464788732,0.43087804317474365,0.43727166783458116,5.011872336272725,1.1000000000000014,0.7540106951871658,0.19662794470787048,0.014718362784206905,0.7499152446604135,0.2001214023132189,0.006764992623777931
cow,worm,0.2614046633243561,0.6469615816967533,0.6464913026601842,0.6782178217821783,0.5229007633587787,0.9647887323943662,0.24776966869831085,0.11425990584643095,1.2589254117941675,0.40000000000000036,0.6782178217821783,0.23626339435577393,0.04070732200369588,0.6534979423868313,0.24090071046088257,0.003452098250668929
mouse,human,7.276637772537052e-22,0.693106549760549,0.6467617172158472,0.7337703531401989,0.5895344886170574,0.971444568868981,0.4867859184741974,0.4890905689592953,36.869450645195734,0.9000000000000004,0.7337703531401989,0.20581917464733124,0.023906066959639354,0.736168455821635,0.20726842533435907,0.018252293855575107
mouse,cow,5.659821136067e-12,0.6767875367311241,0.6187825428114064,0.7571606475716066,0.6110552763819096,0.9950900163666121,0.488617479801178,0.4899196703922089,19.952623149688787,1.0,0.7571606475716066,0.1979885846376419,0.0480065632991816,0.7543121581825831,0.19870863079382203,0.03215189545346555
mouse,mouse,1.1891223033311445e-27,0.6739310139495029,0.6277244885252539,0.7587905935050393,0.6135458167330677,0.994131455399061,0.49211791157722473,0.4935515309734398,50.118723362727195,0.9000000000000004,0.7587905935050393,0.19647736847400665,0.05654978525806126,0.7569189729909971,0.1933383279331937,0.008505279833214538
mouse,worm,0.0003064048651140183,0.7207840155172034,0.6825896895532394,0.7385964912280703,0.5896358543417367,0.9882629107981221,0.4045991599559784,0.4190355859950465,5.411695265464638,0.9000000000000004,0.7385964912280703,0.20607471466064453,0.08785478075738874,0.7115222876366695,0.2100532837066542,0.029826002116774174
worm,human,1.6839719749297386e-17,0.6887183381006183,0.640560334771555,0.7296786389413988,0.5838655462184874,0.9725643896976484,0.4790169894695282,0.4815260777960418,29.286445646252375,0.9000000000000004,0.7296786389413988,0.20840290188789368,0.023281274254935456,0.7241029799310764,0.21114462778711923,0.02624509316403814
worm,cow,1.0867982069839854e-09,0.6215642838200904,0.5738563896178825,0.7360354910264165,0.5838131797824696,0.9956355701036552,0.4819963574409485,0.48230077357392653,13.593563908785255,1.0,0.7360354910264165,0.2173294872045517,0.07784485534967553,0.7232348627697465,0.21755979465897854,0.03851617405494029
worm,mouse,7.38447604075969e-19,0.6460766506314884,0.6045136231714029,0.7462422634836426,0.5985815602836879,0.9906103286384976,0.487125962972641,0.48878649501923166,34.145488738336006,0.9000000000000004,0.7462422634836426,0.2064218521118164,0.05552669911774612,0.7372065346748891,0.20209787790574002,0.01372008102891199
worm,worm,6.116573058534414e-05,0.6535685159470123,0.5946154778128763,0.6997518610421837,0.5402298850574713,0.9929577464788732,0.38245517015457153,0.3937047815623697,6.812920690579615,0.5,0.6997518610421837,0.22550173103809357,0.035911201783608945,0.7114893617021277,0.22293869878289516,0.07169980783137918
