decoder,best_epoch,best_val_aupr,test_auc,test_aupr
baseline,9,0.8689041023612296,0.8671714276129343,0.8727428269494695
residual,28,0.8716060516231338,0.8472337530574133,0.8631857958380985
gated,7,0.8569251315931303,0.8524009440391735,0.8633441038150206
bilinear,9,0.8542409515805129,0.8461247276548532,0.8558731745647015
separated,9,0.8456412590120911,0.833600402084043,0.849139267302984
