source\target,human,cow,mouse,worm
human,0.5878017297302744,0.5582126939316348,0.5852668601170277,0.6129166666666667
cow,0.5836175383968126,0.5676325368953573,0.5830732962354133,0.5662726757369615
mouse,0.5749129907379066,0.5494955297958131,0.5768088278363073,0.5758333333333333
worm,0.5274904236277226,0.5419132906337975,0.5523350366497731,0.5108900226757369
