source\target,human,cow,mouse,worm
human,0.8708388568834912,0.8858782131688601,0.8859294421105872,0.8202064294852102
cow,0.8412598190888714,0.9369175279129619,0.897079520736909,0.8516568923696289
mouse,0.8187614017022304,0.881112054989076,0.9248087700157155,0.7976193205526184
worm,0.7805540900638248,0.8196667645579584,0.8049800428420147,0.9376584788778893
