source\target,human,cow,mouse,worm
human,0.7840853954391073,0.8048813744205072,0.8021963482402752,0.683083511777302
cow,0.752304706453178,0.8622852467957458,0.8130457793066949,0.7548179871520343
mouse,0.7212518195050946,0.8061085355876738,0.8495633765546441,0.6755888650963597
worm,0.6567200388161086,0.6883010635396782,0.6753109288171474,0.8640256959314775
