source\target,human,cow,mouse,worm
human,2.7029051739846377e-12,2.0924053387716413e-06,8.28169893773989e-11,0.030158182606101036
cow,0.00021137403382454067,0.019475730136036873,0.00013709058111999184,0.2614046633243561
mouse,7.276637772537052e-22,5.659821136067e-12,1.1891223033311445e-27,0.0003064048651140183
worm,1.6839719749297386e-17,1.0867982069839854e-09,7.38447604075969e-19,6.116573058534414e-05
