source\target,human,cow,mouse,worm
human,0.7957302280446386,0.841287155713117,0.794654670547764,0.9678800856531049
cow,0.6031052886948084,0.8434687755658576,0.7036252976978037,0.9250535331905781
mouse,0.6574478408539544,0.8538314698663758,0.8674252447737497,0.9700214132762313
worm,0.4245511887433285,0.519225524952277,0.4681132574755226,0.8907922912205567
