model,protocol,source,target,transfer_size,acc,f1,mcc,auc,aupr
xgb,source_only,human,human,0,0.7840853954391073,0.7837706511175898,0.568173198555,0.8708388568834912,0.8779614527388467
xgb,transfer,human,human,0,0.7840853954391073,0.7837706511175898,0.568173198555,0.8708388568834912,0.8779614527388467
xgb,source_only,human,cow,0,0.8048813744205072,0.8110891089108911,0.6110839009859902,0.8858782131688601,0.8798453197123944
xgb,transfer,human,cow,500,0.8204254158712845,0.8255860150973381,0.6419758694146535,0.9016799350392496,0.9023253992191875
xgb,source_only,human,mouse,0,0.8021963482402752,0.8034704877086895,0.6044435103602442,0.8859294421105872,0.8913905547970482
xgb,transfer,human,mouse,500,0.8086795448531358,0.8116206357477853,0.6176602764172671,0.8937094461033492,0.9005246687946926
xgb,source_only,human,worm,0,0.683083511777302,0.7491525423728814,0.43077967931437594,0.8202064294852102,0.8076030491374476
xgb,transfer,human,worm,500,0.8254817987152034,0.8314374353671147,0.6525949619264596,0.9149154702896524,0.912766331638934
xgb,source_only,cow,human,0,0.752304706453178,0.7136044880785414,0.5241125994209059,0.8412598190888714,0.8512879626586407
xgb,transfer,cow,human,500,0.7702571567200388,0.761280564658432,0.5420493957888042,0.8488604830684501,0.8565864426681518
xgb,source_only,cow,cow,0,0.8622852467957458,0.8626224156692057,0.7245792229370821,0.9369175279129619,0.9377486345710877
xgb,transfer,cow,cow,0,0.8622852467957458,0.8626224156692057,0.7245792229370821,0.9369175279129619,0.9377486345710877
xgb,source_only,cow,mouse,0,0.8130457793066949,0.8011259676284307,0.6306389469098449,0.897079520736909,0.9011032909392773
xgb,transfer,cow,mouse,500,0.8298491664461498,0.8327698309492846,0.6601011492541593,0.9115677431042052,0.9156848508800886
xgb,source_only,cow,worm,0,0.7548179871520343,0.7927601809954751,0.5476722827159268,0.8516568923696289,0.827728861637572
xgb,transfer,cow,worm,500,0.8179871520342612,0.8225469728601253,0.6368158147007961,0.894153304384907,0.8885472088583998
xgb,source_only,mouse,human,0,0.7212518195050946,0.6794979079497908,0.45833474540795527,0.8187614017022304,0.8285092688499753
xgb,transfer,mouse,human,500,0.7590975254730713,0.750314307266784,0.5194822899187369,0.8378836557297431,0.8427416453600609
xgb,source_only,mouse,cow,0,0.8061085355876738,0.8104,0.6128453289999427,0.881112054989076,0.8705927694989184
xgb,transfer,mouse,cow,500,0.8250613580583583,0.8230100703545316,0.6502974416720833,0.9028769405324905,0.8989218400004242
xgb,source_only,mouse,mouse,0,0.8495633765546441,0.8487428495410403,0.6991679039012729,0.9248087700157155,0.929061295742793
xgb,transfer,mouse,mouse,0,0.8495633765546441,0.8487428495410403,0.6991679039012729,0.9248087700157155,0.929061295742793
xgb,source_only,mouse,worm,0,0.6755888650963597,0.7438715131022823,0.41510607581022974,0.7976193205526184,0.7851112893586808
xgb,transfer,mouse,worm,500,0.8383297644539615,0.8412197686645636,0.6771083116816637,0.9070012701236652,0.9001603283391759
xgb,source_only,worm,human,0,0.6567200388161086,0.5349983568846534,0.3678848895630459,0.7805540900638248,0.7779100994436682
xgb,transfer,worm,human,500,0.7404172731683649,0.7371007371007371,0.4809876634658121,0.8221262648841579,0.8317229329563641
xgb,source_only,worm,cow,0,0.6883010635396782,0.5933831376734258,0.42586262385368934,0.8196667645579584,0.8170352588653528
xgb,transfer,worm,cow,500,0.8114262339787293,0.8082096796560809,0.6232031473553922,0.8906021310951552,0.8916947996615157
xgb,source_only,worm,mouse,0,0.6753109288171474,0.5702276707530648,0.4019631896821475,0.8049800428420147,0.8031208129432739
xgb,transfer,worm,mouse,500,0.8020640381053189,0.7967391304347826,0.6049590186142655,0.8874531268851743,0.8913944836840427
xgb,source_only,worm,worm,0,0.8640256959314775,0.8641711229946525,0.7280530610298906,0.9376584788778893,0.9304588886819889
xgb,transfer,worm,worm,0,0.8640256959314775,0.8641711229946525,0.7280530610298906,0.9376584788778893,0.9304588886819889
