encoder,setting,source,target,phase,train_neg_strategy,eval_neg_strategy,fixed_eval_negatives,finetune_strategy,source_best_epoch,source_best_val_aupr,source_best_val_auc,target_best_epoch,target_best_val_aupr,target_best_val_auc,selected_threshold,threshold_metric,threshold_val_auc,threshold_val_aupr,threshold_val_acc,threshold_val_f1,threshold_val_mcc,auc,aupr,acc,f1,mcc,loss
graphsage,finetune,human,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.8427142490880531,0.8292401280038643,2,0.8348937358794679,0.8214285714285714,0.4934720993041992,mcc,0.8214285714285714,0.8348937358794679,0.7513736263736264,0.7198142414860681,0.5160111740302453,0.8186497906618218,0.8227238639046431,0.7383177570093458,0.7000630119722747,0.492942761979474,0.6702021360397339
graphsage,finetune,human,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.8427142490880531,0.8292401280038643,2,0.8467170128633216,0.8280358941169983,0.48447370529174805,mcc,0.8280358941169983,0.8467170128633216,0.7670357751277683,0.7391511683357177,0.5467128203261676,0.8001452249041556,0.8229187236741494,0.7459965928449744,0.7246537396121883,0.4980139450137006,0.6670269966125488
graphsage,finetune,cow,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,3,0.8240256053902332,0.7991541607051128,3,0.8193141316942021,0.8046073088998913,0.522836446762085,mcc,0.8046073088998913,0.8193141316942021,0.7342032967032966,0.6788381742738588,0.49900378932293765,0.8010900454883263,0.8061447415974285,0.7190764156129742,0.6558922558922559,0.47106709283749426,0.6761434078216553
graphsage,finetune,cow,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,3,0.8240256053902332,0.7991541607051128,3,0.8321349118360825,0.8183796278829494,0.5178346037864685,mcc,0.8183796278829494,0.8321349118360825,0.7389267461669506,0.6893056259503295,0.5042707324526309,0.8014509720839658,0.8129143709117987,0.7369676320272572,0.6944994064107638,0.493387474033224,0.6734033823013306
