tag,encoder,layers,auc,aupr,acc,f1,mcc,loss,thr,epoch,elapsed_s
graphsage_L1,graphsage,1,0.6666843015514919,0.6469227737314379,0.6099887766554434,0.682067703568161,0.24680656436839,0.6856404542922974,0.5055719017982483,2,70
graphsage_L2,graphsage,2,0.6696098029805475,0.6475632873447881,0.6172839506172839,0.6567689984901862,0.2410343569600195,0.6819384098052979,0.4899536967277527,3,76
graphsage_L3,graphsage,3,0.695863737764224,0.6796968922706105,0.6445005611672279,0.6171048655182836,0.2920062829308163,0.6841250658035278,0.5021075010299683,4,83
graphsage_L4,graphsage,4,0.6855451257808161,0.6866722013589477,0.6113916947250281,0.6824122907590003,0.249084509917771,0.6879291534423828,0.4973670244216919,4,89
graphsage_L5,graphsage,5,0.678707986461447,0.6775506706699663,0.6226150392817059,0.6553932872149628,0.2497916617444673,0.6829633116722107,0.5030810832977295,7,96
graphsage_L6,graphsage,6,0.6613272329228184,0.6257959505190476,0.6198092031425365,0.6131886954039394,0.2397589192270945,0.6659421920776367,0.6312425136566162,17,146
