encoder,setting,source,target,phase,train_neg_strategy,eval_neg_strategy,fixed_eval_negatives,finetune_strategy,source_best_epoch,source_best_val_aupr,source_best_val_auc,target_best_epoch,target_best_val_aupr,target_best_val_auc,selected_threshold,threshold_metric,threshold_val_auc,threshold_val_aupr,threshold_val_acc,threshold_val_f1,threshold_val_mcc,auc,aupr,acc,f1,mcc,loss
graphsage,finetune,human,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,14,0.856952534455563,0.8462981901340417,4,0.8557254925993365,0.8475350199251298,0.525234580039978,mcc,0.8475350199251298,0.8557254925993365,0.7699175824175825,0.7498132935026139,0.54694491722887,0.8515979244194428,0.8562729702442214,0.7647058823529411,0.74013357619915,0.5391405747099045,0.6249903440475464
graphsage,finetune,human,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,14,0.856952534455563,0.8462981901340417,5,0.876652609678308,0.8638262583111075,0.5323240160942078,mcc,0.8638262583111075,0.876652609678308,0.7981260647359455,0.7732057416267942,0.6111935947039356,0.8434293276528069,0.8596294982922622,0.7831345826235093,0.7612080285124742,0.5760666128851694,0.6139722466468811
graphsage,finetune,cow,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,15,0.8850559751843649,0.8764550786634897,1,0.8560756220294633,0.8470180231856056,0.5331281423568726,mcc,0.8470180231856056,0.8560756220294633,0.7788461538461539,0.7621861152141802,0.563248210741293,0.8532530756981238,0.8575768397654784,0.7732270478284772,0.7542448614834673,0.5530935186736383,0.6081389784812927
graphsage,finetune,cow,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,15,0.8850559751843649,0.8764550786634897,3,0.8847924338418848,0.8774730170154599,0.5634570717811584,mcc,0.8774730170154599,0.8847924338418848,0.7981260647359455,0.7703488372093023,0.6145033781444149,0.8583782638600687,0.8666858721022478,0.7889267461669506,0.7642245480494767,0.5909730535928444,0.5913139581680298
