encoder,setting,source,target,phase,train_neg_strategy,eval_neg_strategy,fixed_eval_negatives,finetune_strategy,source_best_epoch,source_best_val_aupr,source_best_val_auc,target_best_epoch,target_best_val_aupr,target_best_val_auc,selected_threshold,threshold_metric,threshold_val_auc,threshold_val_aupr,threshold_val_acc,threshold_val_f1,threshold_val_mcc,auc,aupr,acc,f1,mcc,loss
gatv2,strict_zero_shot,human,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,9,0.8311097119385468,0.8189134011592802,0,nan,nan,0.5,fixed,0.8189134011592802,0.8311097119385468,0.5899725274725275,0.31771428571428567,0.2986364435868925,0.8226667021280776,0.8347540583782854,0.5830126443100605,0.2940902745463006,0.28904617228836976,0.663533627986908
gatv2,strict_zero_shot,human,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,9,0.8311097119385468,0.8189134011592802,0,nan,nan,0.5,fixed,0.8740107206394075,0.885352667194399,0.6345826235093697,0.43178807947019865,0.3843292653313009,0.8732878465561325,0.8813475107203169,0.6357751277683135,0.4349894291754757,0.38601960819193076,0.6447842717170715
gatv2,strict_zero_shot,human,mouse,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,9,0.8311097119385468,0.8189134011592802,0,nan,nan,0.5,fixed,0.8321281043398245,0.8393122077888161,0.5900621118012422,0.3132947976878613,0.30435853574721256,0.828747818793123,0.8398356102167704,0.5958034235229155,0.3284403669724771,0.3167191039605384,0.6573305726051331
gatv2,strict_zero_shot,human,worm,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,9,0.8311097119385468,0.8189134011592802,0,nan,nan,0.5,fixed,0.7838885362023456,0.8086197341283952,0.5924855491329479,0.3121951219512195,0.31923475378704885,0.8006016352959373,0.8198653958135869,0.6004618937644342,0.33969465648854963,0.3276028755945797,0.6645121574401855
gatv2,strict_zero_shot,cow,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,3,0.8724034342372297,0.8647491503878759,0,nan,nan,0.5,fixed,0.762753215191402,0.7863836427058273,0.6682692307692307,0.7136929460580912,0.35487759920049994,0.7651447173126134,0.7878403786019966,0.6583287520615723,0.7018469656992085,0.33107822699174966,0.6715240478515625
gatv2,strict_zero_shot,cow,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,3,0.8724034342372297,0.8647491503878759,0,nan,nan,0.5,fixed,0.8647491503878759,0.8724034342372297,0.7768313458262351,0.775107296137339,0.5537277796121617,0.8553602326384556,0.8543688820434456,0.7698466780238501,0.7694145758661887,0.5396971464980337,0.6638198494911194
gatv2,strict_zero_shot,cow,mouse,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,3,0.8724034342372297,0.8647491503878759,0,nan,nan,0.5,fixed,0.7856664194768435,0.781114261645005,0.709799861973775,0.709298306256481,0.4196022220619008,0.7912542713236889,0.7870974709725302,0.7114853672004418,0.7168021680216801,0.4232692182052903,0.6708619594573975
gatv2,strict_zero_shot,cow,worm,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,3,0.8724034342372297,0.8647491503878759,0,nan,nan,0.5,fixed,0.6991546660429684,0.6956049878031841,0.6358381502890174,0.6379310344827586,0.2716944571175576,0.7138818810703561,0.7041206075144012,0.6304849884526559,0.619047619047619,0.26144172244331465,0.6752486824989319
gatv2,strict_zero_shot,mouse,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8195825411623905,0.8221309667884517,0,nan,nan,0.5,fixed,0.8126641558990461,0.8201472034889637,0.6771978021978022,0.5631970260223049,0.41548964423505835,0.8081857529147618,0.8157438006022801,0.679494227597581,0.5687869822485206,0.41834871585225275,0.6701045632362366
gatv2,strict_zero_shot,mouse,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8195825411623905,0.8221309667884517,0,nan,nan,0.5,fixed,0.8501947360325508,0.8623666878734361,0.709114139693356,0.6076967260195291,0.4886051080681912,0.8471000002902176,0.856989620711103,0.6998296422487224,0.5951286764705882,0.466967590138741,0.6557645201683044
gatv2,strict_zero_shot,mouse,mouse,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8195825411623905,0.8221309667884517,0,nan,nan,0.5,fixed,0.8221309667884517,0.8195825411623905,0.6694271911663217,0.5363020329138432,0.41388174117406734,0.8182494410347709,0.8255029750951896,0.6794588625069022,0.5588905775075989,0.42863262476327096,0.6632230281829834
gatv2,strict_zero_shot,mouse,worm,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8195825411623905,0.8221309667884517,0,nan,nan,0.5,fixed,0.7705903972735474,0.7738754553740063,0.6473988439306358,0.5343511450381679,0.3372163405228994,0.7714532585911706,0.7613143171068691,0.6766743648960739,0.5757575757575757,0.4017242726844905,0.6725339293479919
gatv2,strict_zero_shot,worm,human,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8035277802976305,0.7960172408032343,0,nan,nan,0.5,fixed,0.8209361037314334,0.8297879167205299,0.7465659340659341,0.7159353348729792,0.5050155597255617,0.8179857958915739,0.8259855188115386,0.7358438702583837,0.7086996059411943,0.4800988989615675,0.6775429248809814
gatv2,strict_zero_shot,worm,cow,zero_shot_eval,endpoint_corrupt,endpoint_corrupt,True,,7,0.8035277802976305,0.7960172408032343,0,nan,nan,0.5,fixed,0.8624549799894942,0.8771259468092225,0.7606473594548552,0.7735697018533442,0.5247239419384941,0.856583151705464,0.863920439716919,0.7514480408858603,0.7680076323739863,0.5081003685967699,0.6715184450149536
