config,auc,aupr,acc,f1,mcc,delta_auc,delta_aupr,delta_acc,delta_f1,delta_mcc
neither,0.6412,0.6241,0.5982,0.6298,0.1993,,,,,
mirna_only,0.7064,0.6781,0.6504,0.6468,0.3008,+0.0652,+0.0540,+0.0522,+0.0170,+0.1015
mrna_only,0.6599,0.6374,0.6035,0.6589,0.2190,+0.0187,+0.0133,+0.0053,+0.0292,+0.0196
both,0.6745,0.6570,0.6249,0.6585,0.2547,+0.0333,+0.0328,+0.0267,+0.0287,+0.0554
