encoder,setting,source,target,phase,train_neg_strategy,eval_neg_strategy,fixed_eval_negatives,finetune_strategy,source_best_epoch,source_best_val_aupr,source_best_val_auc,target_best_epoch,target_best_val_aupr,target_best_val_auc,selected_threshold,threshold_metric,threshold_val_auc,threshold_val_aupr,threshold_val_acc,threshold_val_f1,threshold_val_mcc,auc,aupr,acc,f1,mcc,loss
graphsage,finetune,human,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.8338651900035893,0.8201926850621906,2,0.8119652006078366,0.7983052318560561,0.4943183362483978,mcc,0.7983052318560561,0.8119652006078366,0.7328296703296703,0.6900398406374503,0.48449191441856226,0.7927863330110576,0.7981656802709163,0.7113798790544255,0.6593121349772875,0.44401010850586525,0.6717048287391663
graphsage,finetune,human,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,7,0.8338651900035893,0.8201926850621906,1,0.830751387723243,0.8094975171881393,0.47431275248527527,mcc,0.8094975171881393,0.830751387723243,0.74190800681431,0.7014778325123152,0.5026052743829781,0.7812020233973457,0.8060667541174193,0.7248722316865417,0.6913816166634816,0.46072650134023896,0.6731319427490234
graphsage,finetune,cow,human,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,3,0.8225706528461331,0.7962733879135964,3,0.8132557061259422,0.7978344629271827,0.5219212770462036,mcc,0.7978344629271827,0.8132557061259422,0.7307692307692307,0.6802610114192496,0.4864540813453409,0.7938645311643845,0.8007706985831379,0.719626168224299,0.6611295681063123,0.46803023959498896,0.6767312288284302
graphsage,finetune,cow,cow,finetune_eval,endpoint_corrupt,endpoint_corrupt,True,full,3,0.8225706528461331,0.7962733879135964,3,0.8330458752652147,0.8117002690317469,0.5149749517440796,mcc,0.8117002690317469,0.8330458752652147,0.7482964224872232,0.7075705096486886,0.517054715806478,0.794147239014537,0.8154037441670243,0.7448040885860306,0.708786936236392,0.5053113413296495,0.6742969751358032
